
a2ps.rb                         :_: "Any-to-PostScript filter"
bonnie++.rb                     :_: "Benchmark suite for file systems and hard drives"

bookloupe.rb                    :_: "List common formatting errors in a Project Gutenberg candidate file"

boost-bcp.rb                    :_: "Utility for extracting subsets of the Boost library"

boost-build.rb                  :_: "C++ build system"

boost-python.rb                 :_: "C++ library for C++/Python interoperability"

boost.rb                        :_: "Collection of portable C++ source libraries"

boot-clj.rb                     :_: "Build tooling for Clojure"

boot2docker.rb                  :_: "Lightweight Linux for Docker"

borg.rb                         :_: "Terminal based search engine for bash commands"

bork.rb                         :_: "Bash DSL for config management"

botan.rb                        :_: "Cryptographic algorithms and formats library in C++"

boxes.rb                        :_: "Draw boxes around text"

bpm-tools.rb                    :_: "Detect tempo of audio files using beats-per-minute (BPM)"

brag.rb                         :_: "Download and assemble multipart binaries from newsgroups"

brew-gem.rb                     :_: "Install rubygems as homebrew formulae"

brew-pip.rb                     :_: "Install pip packages as homebrew formulae"

brightness.rb                   :_: "Change macOS display brightness from the command-line"

briss.rb                        :_: "Crop PDF files"

bro.rb                          :_: "Network security monitor"

brotli.rb                       :_: "Generic-purpose lossless compression algorithm by Google."

browser.rb                      :_: "Pipe HTML to a browser"

bsdconv.rb                      :_: "Charset/encoding converter library"

bsdiff.rb                       :_: "Generate and apply patches to binary files"

bsdmake.rb                      :_: "BSD make (build tool)"

bsdsfv.rb                       :_: "SFV utility tools"

bsponmpi.rb                     :_: "Implements the BSPlib standard on top of MPI"

btparse.rb                      :_: "BibTeX utility libraries"

btpd.rb                         :_: "BitTorrent Protocol Daemon"

buildapp.rb                     :_: "Creates executables with SBCL"

buku.rb                         :_: "Command-line bookmark manager"

bulk_extractor.rb               :_: "Stream-based forensics tool"

bullet.rb                       :_: "Physics SDK"

bup.rb                          :_: "Backup tool"

burl.rb                         :_: "Shell script wrapper that offers helpful shortcuts for curl(1)"

burp.rb                         :_: "Network backup and restore"

bvi.rb                          :_: "Vi-like binary file (hex) editor"

bwctl.rb                        :_: "Command-line tool and daemon for network measuring tools"

bwm-ng.rb                       :_: "Console-based live network and disk I/O bandwidth monitor"

byacc.rb                        :_: "(Arguably) the best yacc variant"

byobu.rb                        :_: "Text-based window manager and terminal multiplexer"

byteman.rb                      :_: "Java bytecode manipulation tool for testing, monitoring and tracing."

bzr-builder.rb                  :_: "Bazaar plugin to construct a branch based on a recipe"

bzr-colo.rb                     :_: "Git style colocated branches for Bazaar"

bzr-explorer.rb                 :_: "Desktop application for using the Bazaar Version Control System"

bzr-externals.rb                :_: "Bazaar support for external branches like svn:externals"

bzr-extmerge.rb                 :_: "External merge tool support for Bazaar"

bzr-fastimport.rb               :_: "Bazaar plugin for fast loading of revision control"

bzr-rewrite.rb                  :_: "Bazaar plugin to support rewriting revisions and rebasing"

bzr-upload.rb                   :_: "Bazaar plugin to incrementally upload changes to a dumb server"

bzr-xmloutput.rb                :_: "Bazaar plugin that provides a option to generate XML output"

bzrtools.rb                     :_: "Bazaar plugin that supplies useful additional utilities"

c-ares.rb                       :_: "Asynchronous DNS library"

c-kermit.rb                     :_: "Scriptable network and serial communication for UNIX and VMS"

cabal-install.rb                :_: "Command-line interface for Cabal and Hackage"

cabextract.rb                   :_: "Extract files from Microsoft cabinet files"

cabocha.rb                      :_: "Yet Another Japanese Dependency Structure Analyzer"

cadaver.rb                      :_: "Command-line client for DAV"

caddy.rb                        :_: "Alternative general-purpose HTTP/2 web server"

cadubi.rb                       :_: "Creative ASCII drawing utility"

caf.rb                          :_: "Implementation of the Actor Model for C++"

cairo.rb                        :_: "Vector graphics library with cross-device output support"

cairomm.rb                      :_: "Vector graphics library with cross-device output support"

cake.rb                         :_: "Cross platform build automation system with a C# DSL."

calabash.rb                     :_: "XProc (XML Pipeline Language) implementation"

calc.rb                         :_: "Arbitrary precision calculator"

calcurse.rb                     :_: "Text-based personal organizer"

camellia.rb                     :_: "Image Processing & Computer Vision library written in C"

camlistore.rb                   :_: "Content-addressable multi-layer indexed storage"

camlp4.rb                       :_: "Tool to write extensible parsers in OCaml"

camlp5.rb                       :_: "Preprocessor and pretty-printer for OCaml"

capnp.rb                        :_: "Data interchange format and capability-based RPC system"

capstone.rb                     :_: "Multi-platform, multi-architecture disassembly framework"

carina.rb                       :_: "Work with Swarm clusters on Carina"

carthage.rb                     :_: "Decentralized dependency manager for Cocoa"

cask.rb                         :_: "Emacs dependency management"

casperjs.rb                     :_: "Navigation scripting and testing tool for PhantomJS"

cassandra.rb                    :_: "Eventually consistent, distributed key-value store"

castxml.rb                      :_: "C-family Abstract Syntax Tree XML Output"

catimg.rb                       :_: "Insanely fast image printing in your terminal"

cattle.rb                       :_: "Brainfuck language toolkit"

cayley.rb                       :_: "Graph database inspired by Freebase and Knowledge Graph"

cbmbasic.rb                     :_: "Commodore BASIC V2 as a scripting language"

cc65.rb                         :_: "6502 C compiler"

ccache.rb                       :_: "Object-file caching compiler wrapper"

ccal.rb                         :_: "Create Chinese calendars for print or browsing"

ccat.rb                         :_: "Like cat but displays content with syntax highlighting"

ccd2iso.rb                      :_: "Convert CloneCD images to ISO images"

ccextractor.rb                  :_: "Free, GPL licensed closed caption tool"

cclive.rb                       :_: "Command-line video extraction utility"

ccm.rb                          :_: "Create and destroy an Apache Cassandra cluster on localhost"

cconv.rb                        :_: "Iconv based simplified-traditional Chinese conversion tool"

ccrypt.rb                       :_: "Encrypt and decrypt files and streams"

cctools-headers.rb              :_: "cctools headers via Apple"

